year,month,outcome,lon,lat,shark_type,shark_length,num_sharks,provoked,victim_activity,age,gender
2009,4,uninjured,152.1833333,-32.73333333,bull shark,3,1,unprovoked,boarding,40,male
2009,6,injured,150.85,-34.66666667,wobbegong,2,1,unprovoked,boarding,52,male
2009,7,injured,153.6166667,-28.63333333,whaler shark,1.5,1,unprovoked,boarding,14,male
2009,8,uninjured,115.45,-32,white shark,6,1,provoked,spearfishing,42,male
2009,9,injured,96.81666667,-12.15,whaler shark,1.8,1,unprovoked,boarding,35,male
2009,10,uninjured,141.6,-38.33333333,white shark,4,1,unprovoked,unmotorised boating,27,male
2009,11,injured,138.2333333,-35.5,white shark,3,1,provoked,spearfishing,25,male
2009,12,injured,151.9,-23.43333333,whaler shark,3,1,provoked,spearfishing,18,male
2010,1,uninjured,152.45,-24.8,white shark,1.9,1,unprovoked,boarding,37,male
2010,1,injured,142.2166667,-10.56666667,whitetip reef shark,1,1,unprovoked,snorkelling,9,female
2010,2,uninjured,153.3666667,-29.41666667,white shark,2.4,1,unprovoked,boarding,18,male
2010,2,injured,148.9333333,-20.35,bull shark,1.8,1,unprovoked,snorkelling,55,female
2010,2,injured,151.3,-33.66666667,wobbegong,1.6,1,unprovoked,other: standing in water,46,male
2010,8,injured,152.9666667,-31.18333333,white shark,2,1,unprovoked,boarding,47,male
2010,8,fatal,114.9666667,-33.85,white shark,4,1,unprovoked,boarding,31,male
2010,9,injured,153.3333333,-29.4,white shark,2,1,unprovoked,boarding,15,male
2010,10,injured,153.2,-30.06666667,wobbegong,1.4,1,unprovoked,boarding,22,male
2010,10,injured,115.6833333,-32.18333333,white shark,3,1,unprovoked,snorkelling,19,female
2011,2,injured,114.1166667,-21.95,whaler shark,1.8,1,unprovoked,snorkelling,58,male
2011,3,injured,152.7333333,-31.83333333,white shark,3,1,unprovoked,boarding,48,male
2011,4,injured,113.4,-24.48333333,whaler shark,1.8,1,provoked,fishing,17,male
2011,9,fatal,115.0333333,-33.53333333,white shark,4.5,1,unprovoked,boarding,21,male
2011,10,fatal,115.45,-32,white shark,3,1,unprovoked,diving,32,male
2011,10,uninjured,144.9833333,-37.88333333,port jackson shark,1,1,provoked,diving,49,male
2011,11,injured,153.0833333,-26.46666667,wobbegong,1,1,provoked,swimming,10,male
2011,12,injured,153.35,-29.48333333,white shark,2.5,1,unprovoked,boarding,50,male
2012,1,injured,151.4333333,-33.45,white shark,2.2,1,unprovoked,boarding,28,male
2012,1,injured,151.7166667,-33,white shark,2.6,1,unprovoked,boarding,44,male
2012,1,injured,113.7666667,-23.13333333,tiger shark,3,1,unprovoked,snorkelling,26,male
2012,3,fatal,115.5166667,-33.46666667,white shark,4,1,unprovoked,diving,32,male
2012,4,injured,136.85,-35.18333333,white shark,6,1,unprovoked,unmotorised boating,27,male
2012,5,injured,152.6,-32.21666667,wobbegong,1.8,1,provoked,diving,57,male
2012,5,uninjured,151.7,-33,white shark,2,1,unprovoked,unmotorised boating,30,male
2012,6,injured,142.9833333,-38.61666667,white shark,1.5,1,unprovoked,boarding,42,male
2012,6,uninjured,115.7166667,-31.78333333,white shark,3.5,1,unprovoked,unmotorised boating,61,male
2012,7,fatal,115.2666667,-30.83333333,white shark,3.6,1,unprovoked,boarding,24,male
2012,8,injured,113.3833333,-24.38333333,tiger shark,3.5,1,unprovoked,boarding,34,male
2012,10,uninjured,115.7166667,-31.76666667,white shark,1.3,1,unprovoked,boarding,11,male
2012,12,injured,152.7833333,-31.73333333,bull shark,3,1,unprovoked,boarding,29,male
2013,3,injured,114.6,-28.8,bronze whaler shark,2.5,1,provoked,spearfishing,28,male
2013,5,injured,153.6,-28.63333333,wobbegong,1,1,provoked,swimming,65,male
2013,7,injured,145.0166667,-38.46666667,white shark,1.7,1,unprovoked,swimming,29,male
2013,10,injured,123.9166667,-33.95,white shark,5,1,provoked,diving,55,male
2013,11,fatal,153.1333333,-30.26666667,tiger shark,3,1,unprovoked,boarding,19,male
