doc_id,doc_id_out,count
John Milton,Percy Bysshe Shelley,14
John Milton,Philip Sidney,2
John Milton,Robert Burns,5
John Milton,Rudyard Kipling,4
John Milton,Samuel Beckett,5
John Milton,Samuel Johnson,18
John Milton,Samuel Pepys,13
John Milton,Samuel Taylor Coleridge,17
John Milton,Seamus Heaney,1
John Milton,Stephen Spender,2
John Milton,T. S. Eliot,11
John Milton,Thomas Hobbes,12
John Milton,Thomas Malory,1
John Milton,Thomas More,9
John Milton,Virginia Woolf,5
John Milton,W. B. Yeats,7
John Milton,W. H. Auden,8
John Milton,Walter Raleigh,5
John Milton,William Blake,12
John Milton,William Langland,1
John Milton,William Shakespeare,18
John Milton,William Wordsworth,11
Margaret Cavendish,Mary Robinson,1
Margaret Cavendish,Mary Wollstonecraft,2
Margaret Cavendish,Matthew Arnold,1
Margaret Cavendish,Oscar Wilde,3
Margaret Cavendish,Robert Burns,1
Margaret Cavendish,Rudyard Kipling,2
Margaret Cavendish,Samuel Johnson,2
Margaret Cavendish,Samuel Pepys,2
Margaret Cavendish,Samuel Taylor Coleridge,3
Margaret Cavendish,Stephen Spender,1
Margaret Cavendish,T. S. Eliot,3
Margaret Cavendish,Thomas Hobbes,5
Margaret Cavendish,Thomas More,2
Margaret Cavendish,W. B. Yeats,1
Margaret Cavendish,W. H. Auden,1
Margaret Cavendish,Walter Raleigh,1
Margaret Cavendish,William Blake,4
Margaret Cavendish,William Shakespeare,4
Margaret Cavendish,William Wordsworth,1
John Dryden,John Gower,3
John Dryden,John Keats,9
John Dryden,John Locke,9
John Dryden,John Milton,18
John Dryden,John Stuart Mill,1
John Dryden,Jonathan Swift,4
John Dryden,Joseph Conrad,1
John Dryden,Katherine Philipps,3
John Dryden,Lord Byron,4
John Dryden,Louis MacNeice,2
John Dryden,Margaret Cavendish,4
John Dryden,Marie de France,1
John Dryden,Mary Robinson,1
John Dryden,Mary Wollstonecraft,2
John Dryden,Matthew Arnold,2
John Dryden,Oscar Wilde,3
John Dryden,Percy Bysshe Shelley,8
John Dryden,Philip Sidney,2
John Dryden,Rex Warner,1
John Dryden,Robert Burns,2
John Dryden,Rudyard Kipling,5
John Dryden,Samuel Beckett,2
John Dryden,Samuel Johnson,12
John Dryden,Samuel Pepys,13
John Dryden,Samuel Taylor Coleridge,9
John Dryden,Seamus Heaney,1
John Dryden,Stephen Spender,2
John Dryden,T. S. Eliot,7
John Dryden,Thomas Hobbes,7
John Dryden,Thomas Malory,1
John Dryden,Thomas More,3
John Dryden,Virginia Woolf,3
John Dryden,W. B. Yeats,5
John Dryden,W. H. Auden,7
John Dryden,Walter Raleigh,3
John Dryden,William Blake,10
John Dryden,William Langland,1
John Dryden,William Shakespeare,8
John Dryden,William Wordsworth,7
Samuel Pepys,Samuel Taylor Coleridge,5
Samuel Pepys,Seamus Heaney,1
Samuel Pepys,T. S. Eliot,1
Samuel Pepys,Thomas Hobbes,3
Samuel Pepys,Thomas More,7
Samuel Pepys,Virginia Woolf,3
Samuel Pepys,W. B. Yeats,2
Samuel Pepys,W. H. Auden,2
Samuel Pepys,Walter Raleigh,7
Samuel Pepys,William Blake,2
Samuel Pepys,William Langland,3
Samuel Pepys,William Shakespeare,5
John Locke,John Milton,24
John Locke,John Stuart Mill,6
John Locke,Jonathan Swift,6
John Locke,Joseph Conrad,3
John Locke,Katherine Philipps,3
John Locke,Lord Byron,1
John Locke,Louis MacNeice,1
John Locke,Margaret Cavendish,4
John Locke,Margery Kempe,1
John Locke,Mary Robinson,1
John Locke,Mary Wollstonecraft,5
John Locke,Matthew Arnold,1
John Locke,Oscar Wilde,4
John Locke,Percy Bysshe Shelley,4
John Locke,Philip Sidney,2
John Locke,Rex Warner,1
John Locke,Robert Burns,3
John Locke,Rudyard Kipling,2
John Locke,Samuel Beckett,4
John Locke,Samuel Johnson,4
John Locke,Samuel Pepys,13
John Locke,Samuel Taylor Coleridge,7
John Locke,Seamus Heaney,1
John Locke,Thomas Hobbes,14
John Locke,Thomas Malory,2
John Locke,Thomas More,7
John Locke,Virginia Woolf,1
John Locke,W. B. Yeats,1
John Locke,W. H. Auden,2
John Locke,Walter Raleigh,2
John Locke,William Blake,6
John Locke,William Langland,1
John Locke,William Shakespeare,5
Jonathan Swift,Joseph Conrad,1
Jonathan Swift,Katherine Philipps,3
Jonathan Swift,Louis MacNeice,6
Jonathan Swift,Margaret Cavendish,2
Jonathan Swift,Mary Robinson,1
Jonathan Swift,Mary Wollstonecraft,2
Jonathan Swift,Oscar Wilde,8
Jonathan Swift,Percy Bysshe Shelley,2
Jonathan Swift,Philip Sidney,1
Jonathan Swift,Rudyard Kipling,5
Jonathan Swift,Samuel Beckett,4
Jonathan Swift,Samuel Johnson,8
Jonathan Swift,Samuel Pepys,2
Jonathan Swift,Samuel Taylor Coleridge,1
Jonathan Swift,Seamus Heaney,2
Jonathan Swift,T. S. Eliot,2
Jonathan Swift,Thomas Hobbes,2
Jonathan Swift,Thomas Malory,1
Jonathan Swift,Thomas More,2
Jonathan Swift,W. B. Yeats,3
Jonathan Swift,W. H. Auden,4
Jonathan Swift,Walter Raleigh,5
Jonathan Swift,William Blake,2
Jonathan Swift,William Shakespeare,1
Jonathan Swift,William Wordsworth,2
Alexander Pope,"Alfred, Lord Tennyson",5
Alexander Pope,Ann Radcliffe,5
Alexander Pope,Beatrix Potter,1
Alexander Pope,Ben Jonson,9
Alexander Pope,C. S. Lewis,3
Alexander Pope,Cecil Day-Lewis,1
Alexander Pope,Charles Dickens,5
Alexander Pope,Charlotte Brontë,1
Alexander Pope,Charlotte Smith,1
Alexander Pope,Christina Rossetti,2
Alexander Pope,Christopher Marlowe,5
Alexander Pope,D. H. Lawrence,1
Alexander Pope,Edmund Spenser,6
Alexander Pope,Elizabeth Barrett Browning,5
Alexander Pope,Emilia Lanier,1
Alexander Pope,Emily Brontë,4
Alexander Pope,Felicia Hemans,2
Alexander Pope,Geoffrey Chaucer,2
Alexander Pope,George Bernard Shaw,4
Alexander Pope,George Eliot,1
Alexander Pope,George Herbert,3
Alexander Pope,George Orwell,7
Alexander Pope,Henry Vaughan,1
Alexander Pope,James Boswell,5
Alexander Pope,James Joyce,2
Alexander Pope,Jane Austen,5
Alexander Pope,John Clare,4
Alexander Pope,John Donne,3
Alexander Pope,John Dryden,17
Alexander Pope,John Gower,1
Alexander Pope,John Keats,7
Alexander Pope,John Locke,3
Alexander Pope,John Milton,15
Alexander Pope,John Stuart Mill,3
Alexander Pope,Jonathan Swift,15
Alexander Pope,Joseph Conrad,1
Alexander Pope,Katherine Philipps,2
Alexander Pope,Lord Byron,1
Alexander Pope,Louis MacNeice,1
Alexander Pope,Margaret Cavendish,3
Alexander Pope,Margery Kempe,1
Alexander Pope,Marie de France,1
Alexander Pope,Mary Robinson,3
Alexander Pope,Mary Wollstonecraft,3
Alexander Pope,Matthew Arnold,2
Alexander Pope,Oscar Wilde,2
Alexander Pope,Percy Bysshe Shelley,3
Alexander Pope,Philip Sidney,1
Alexander Pope,Robert Burns,1
Alexander Pope,Rudyard Kipling,3
Alexander Pope,Samuel Beckett,1
Alexander Pope,Samuel Johnson,13
Alexander Pope,Samuel Pepys,5
Alexander Pope,Samuel Taylor Coleridge,8
Alexander Pope,Seamus Heaney,1
Alexander Pope,T. S. Eliot,4
Alexander Pope,Thomas Hobbes,2
Alexander Pope,Thomas Malory,2
Alexander Pope,Thomas More,5
Alexander Pope,Virginia Woolf,1
Alexander Pope,W. B. Yeats,4
Alexander Pope,W. H. Auden,5
Alexander Pope,Walter Raleigh,2
Alexander Pope,William Blake,9
Alexander Pope,William Langland,1
Alexander Pope,William Shakespeare,6
Alexander Pope,William Wordsworth,5
Samuel Johnson,Samuel Pepys,6
Samuel Johnson,Samuel Taylor Coleridge,10
Samuel Johnson,Seamus Heaney,2
Samuel Johnson,Stephen Spender,1
Samuel Johnson,T. S. Eliot,10
Samuel Johnson,Thomas Hobbes,3
Samuel Johnson,Thomas Malory,1
Samuel Johnson,Thomas More,6
Samuel Johnson,Virginia Woolf,2
Samuel Johnson,W. B. Yeats,3
Samuel Johnson,W. H. Auden,8
Samuel Johnson,Walter Raleigh,2
Samuel Johnson,William Blake,9
Samuel Johnson,William Langland,1
Samuel Johnson,William Shakespeare,16
Samuel Johnson,William Wordsworth,6
James Boswell,James Joyce,1
James Boswell,Jane Austen,4
James Boswell,John Donne,3
James Boswell,John Dryden,2
James Boswell,John Gower,1
James Boswell,John Keats,3
James Boswell,John Locke,6
James Boswell,John Milton,8
James Boswell,John Stuart Mill,3
James Boswell,Jonathan Swift,2
James Boswell,Joseph Conrad,3
James Boswell,Katherine Philipps,1
James Boswell,Lord Byron,2
James Boswell,Louis MacNeice,1
James Boswell,Marie de France,1
James Boswell,Mary Robinson,1
James Boswell,Mary Wollstonecraft,4
James Boswell,Oscar Wilde,1
James Boswell,Percy Bysshe Shelley,2
James Boswell,Robert Burns,4
James Boswell,Rudyard Kipling,1
James Boswell,Samuel Beckett,3
James Boswell,Samuel Johnson,8
James Boswell,Samuel Pepys,2
James Boswell,Samuel Taylor Coleridge,7
James Boswell,Thomas Hobbes,2
James Boswell,Thomas More,3
James Boswell,Virginia Woolf,4
James Boswell,W. B. Yeats,1
James Boswell,W. H. Auden,1
James Boswell,Walter Raleigh,2
James Boswell,William Blake,2
James Boswell,William Langland,1
James Boswell,William Shakespeare,6
James Boswell,William Wordsworth,1
Charlotte Smith,Christina Rossetti,5
Charlotte Smith,D. H. Lawrence,1
Charlotte Smith,Daphne du Maurier,2
Charlotte Smith,Edmund Spenser,2
Charlotte Smith,Elizabeth Barrett Browning,3
Charlotte Smith,Emily Brontë,1
Charlotte Smith,Felicia Hemans,1
Charlotte Smith,George Bernard Shaw,1
Charlotte Smith,George Eliot,2
Charlotte Smith,George Orwell,1
Charlotte Smith,James Boswell,2
Charlotte Smith,Jane Austen,12
Charlotte Smith,John Clare,3
Charlotte Smith,John Donne,1
Charlotte Smith,John Dryden,4
Charlotte Smith,John Keats,3
Charlotte Smith,John Locke,2
Charlotte Smith,John Milton,8
Charlotte Smith,John Stuart Mill,2
Charlotte Smith,Joseph Conrad,1
Charlotte Smith,Katherine Philipps,1
Charlotte Smith,Lord Byron,3
Charlotte Smith,Margaret Cavendish,1
Charlotte Smith,Mary Robinson,3
Charlotte Smith,Mary Wollstonecraft,13
Charlotte Smith,Matthew Arnold,1
Charlotte Smith,Oscar Wilde,1
Charlotte Smith,Percy Bysshe Shelley,4
Charlotte Smith,Robert Burns,7
Charlotte Smith,Rudyard Kipling,2
Charlotte Smith,Samuel Johnson,8
