doc_id,year,month,day,views
Christopher Marlowe,2023,9,24,1576
Christopher Marlowe,2023,9,25,1721
Christopher Marlowe,2023,9,26,1692
Christopher Marlowe,2023,9,27,1556
Christopher Marlowe,2023,9,28,1562
Christopher Marlowe,2023,9,29,1645
William Shakespeare,2023,8,1,11339
William Shakespeare,2023,8,2,11683
William Shakespeare,2023,8,3,11220
William Shakespeare,2023,8,4,9883
William Shakespeare,2023,8,5,10438
William Shakespeare,2023,8,6,11847
William Shakespeare,2023,8,7,11506
William Shakespeare,2023,8,8,11057
William Shakespeare,2023,8,9,12223
William Shakespeare,2023,8,10,11332
William Shakespeare,2023,8,11,9601
William Shakespeare,2023,8,12,9472
William Shakespeare,2023,8,13,11234
William Shakespeare,2023,8,14,10674
William Shakespeare,2023,8,15,10669
William Shakespeare,2023,8,16,11113
William Shakespeare,2023,8,17,11425
William Shakespeare,2023,8,18,9935
William Shakespeare,2023,8,19,9693
William Shakespeare,2023,8,20,11616
William Shakespeare,2023,8,21,11692
William Shakespeare,2023,8,22,12116
William Shakespeare,2023,8,23,11692
William Shakespeare,2023,8,24,11064
William Shakespeare,2023,8,25,10770
William Shakespeare,2023,8,26,10066
William Shakespeare,2023,8,27,11292
William Shakespeare,2023,8,28,12554
William Shakespeare,2023,8,29,12180
William Shakespeare,2023,8,30,11403
William Shakespeare,2023,8,31,11169
William Shakespeare,2023,9,1,10853
William Shakespeare,2023,9,2,9755
William Shakespeare,2023,9,3,11889
William Shakespeare,2023,9,4,12433
William Shakespeare,2023,9,5,12577
William Shakespeare,2023,9,6,12496
William Shakespeare,2023,9,7,12407
William Shakespeare,2023,9,8,10350
William Shakespeare,2023,9,9,9564
William Shakespeare,2023,9,10,11543
William Shakespeare,2023,9,11,12755
William Shakespeare,2023,9,12,13639
William Shakespeare,2023,9,13,12362
William Shakespeare,2023,9,14,12562
William Shakespeare,2023,9,15,11705
William Shakespeare,2023,9,16,10034
William Shakespeare,2023,9,17,11125
William Shakespeare,2023,9,18,12232
William Shakespeare,2023,9,19,12672
William Shakespeare,2023,9,20,12222
William Shakespeare,2023,9,21,11599
William Shakespeare,2023,9,22,10756
William Shakespeare,2023,9,23,10096
William Shakespeare,2023,9,24,12012
William Shakespeare,2023,9,25,12928
William Shakespeare,2023,9,26,13914
William Shakespeare,2023,9,27,11717
William Shakespeare,2023,9,28,12347
William Shakespeare,2023,9,29,10808
John Donne,2023,8,1,1734
John Donne,2023,8,2,1520
John Donne,2023,8,3,1358
John Donne,2023,8,4,1321
John Donne,2023,8,5,1451
John Donne,2023,8,6,1699
John Donne,2023,8,7,1622
