food_code,food_code_description,category_number,category_description
83300100,"Blue or roquefort cheese dressing, fat free",8012,Salad dressings and vegetable oils
83300200,"Caesar dressing, fat free",8012,Salad dressings and vegetable oils
83300250,"Creamy Italian dressing, fat free",8012,Salad dressings and vegetable oils
83300300,"Creamy dressing, fat free",8012,Salad dressings and vegetable oils
83300400,"French or Catalina dressing, fat free",8012,Salad dressings and vegetable oils
83300500,"Honey mustard dressing, fat free",8012,Salad dressings and vegetable oils
83300600,"Italian dressing, fat free",8012,Salad dressings and vegetable oils
83300700,"Mayonnaise, fat free",8010,Mayonnaise
83300750,"Ranch dressing, fat free",8012,Salad dressings and vegetable oils
83300800,"Russian dressing, fat free",8012,Salad dressings and vegetable oils
83300900,"Salad dressing, fat free, NFS",8012,Salad dressings and vegetable oils
83301000,"Thousand Island dressing, fat free",8012,Salad dressings and vegetable oils
89901000,"Bacon, for use with vegetables",9999,Not included in a food category
89901002,"Ham, for use with vegetables",9999,Not included in a food category
89901004,"Beef, for use with vegetables",9999,Not included in a food category
89901006,"Chicken, for use with vegetables",9999,Not included in a food category
89901010,"Cream sauce, for use with vegetables",9999,Not included in a food category
89901020,"Cheese sauce, for use with vegetables",9999,Not included in a food category
89901030,"Gravy, for use with vegetables",9999,Not included in a food category
89901040,"Soy based sauce, for use with vegetables",9999,Not included in a food category
89901050,"Tomato sauce, for use with vegetables",9999,Not included in a food category
89902000,"Avocado, for use on a sandwich",6489,Vegetables on a sandwich
89902010,"Cucumber, for use on a sandwich",6489,Vegetables on a sandwich
89902020,"Lettuce, for use on a sandwich",6489,Vegetables on a sandwich
89902030,"Mushrooms, for use on a sandwich",6489,Vegetables on a sandwich
89902040,"Onions, for use on a sandwich",6489,Vegetables on a sandwich
89902050,"Pepper, for use on a sandwich",6489,Vegetables on a sandwich
89902060,"Spinach, for use on a sandwich",6489,Vegetables on a sandwich
89902070,"Tomatoes, for use on a sandwich",6489,Vegetables on a sandwich
89902100,"Bacon, for use on a sandwich",9999,Not included in a food category
91101000,"Sugar, NFS",8802,Sugars and honey
91101010,"Sugar, white, granulated or lump",8802,Sugars and honey
91101020,"Sugar, white, confectioner's, powdered",8802,Sugars and honey
91102010,"Sugar, brown",8802,Sugars and honey
91104100,"Sugar, cinnamon",8802,Sugars and honey
91106010,Sugar substitute and sugar blend,8804,Sugar substitutes
